الترتيب / Ordre,الوحدة / Unité,الدرس / Leçon,المعرّف / Identifiant,النص المقروء (لاتيني) / Texte à lire (latin),النص (بالحرف العربي) / Texte (graphie arabe),المعنى / Sens (français),المعنى / Sens (arabe),الصوت / Voix,الدور في الحوار / Rôle dans le dialogue
120,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000017,seksu,سكسو,couscous,كسكس,أيّ صوت / au choix,
121,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000018,azalim,أزاليم,oignon,بصل,أيّ صوت / au choix,
122,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000019,tiskert,تيسكرت,ail,ثوم,أيّ صوت / au choix,
123,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000020,imensi,إمنسي,dîner,عشاء,أيّ صوت / au choix,
124,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000021,efk-iyi,أفكيي,donne-moi,أعطني,أيّ صوت / au choix,
125,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000022,efk-iyi aman,أفكيي أمان,donne-moi de l'eau,أعطني ماءً,أيّ صوت / au choix,Tanina (♀) — U4 « À table ! » / «العشاء جاهز»
126,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000023,efk-iyi aɣrum,أفكيي أغروم,donne-moi du pain,أعطني خبزًا,أيّ صوت / au choix,
127,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000024,yelha,يلها,c'est bon,إنه طيّب,أيّ صوت / au choix,Tanina (♀) — U4 « À table ! » / «العشاء جاهز»
128,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3. À table / على المائدة,3c040000-0000-4000-8000-000000000025,aman n tala,أمان ن تالا,eau de source,ماء العين,أيّ صوت / au choix,Massin (♂) — U4 « À table ! » / «العشاء جاهز»
129,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000026,ssuq,سوق,marché,سوق,أيّ صوت / au choix,
130,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000027,tiyni,تييني,dattes,تمر,أيّ صوت / au choix,
131,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000028,azemmur,أزمور,olives,زيتون,أيّ صوت / au choix,
132,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000029,xseɣ,خسغ,je veux,أريد,أيّ صوت / au choix,
133,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000030,xseɣ aman,خسغ أمان,je veux de l'eau,أريد ماءً,أيّ صوت / au choix,
134,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000031,ur xseɣ ca,أور خسغ شا,je n'en veux pas,لا أريد,أيّ صوت / au choix,
135,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000032,tiyni n Biskra,تييني ن بسكرة,dattes de Biskra,تمر بسكرة,أيّ صوت / au choix,Yuba (♂) — U4 « Au stand » / «عند البائع»
136,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000033,xseɣ tiyni,خسغ تييني,je veux des dattes,أريد تمرًا,أيّ صوت / au choix,Dihya (♀) — U4 « Au stand » / «عند البائع»
137,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000034,xseɣ tament,خسغ تامنت,je veux du miel,أريد عسلًا,أيّ صوت / au choix,Dihya (♀) — U4 « Au stand » / «عند البائع»
138,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",4. Au marché / في السوق,3c040000-0000-4000-8000-000000000035,tament n udrar,تامنت ن أودرار,miel de montagne,عسل الجبل,أيّ صوت / au choix,Yuba (♂) — U4 « Au stand » / «عند البائع»
139,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000001,taddart,تادارت,maison,بيت، منزل,أيّ صوت / au choix,
140,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000002,tabburt,تابورت,porte,باب,أيّ صوت / au choix,
141,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000003,tasarut,تاساروت,clé,مفتاح,أيّ صوت / au choix,
142,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000004,ldi,لدي,ouvre !,افتح,أيّ صوت / au choix,
143,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000005,ldi tabburt,لدي تابورت,ouvre la porte,افتح الباب,أيّ صوت / au choix,
144,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000006,tasarut n taddart,تاساروت ن تادارت,la clé de la maison,مفتاح البيت,أيّ صوت / au choix,
145,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000007,timessi,تيمسي,feu,نار,أيّ صوت / au choix,
146,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",1. À la maison / في البيت,3c050000-0000-4000-8000-000000000008,tafat,تافات,lumière,ضوء، نور,أيّ صوت / au choix,
147,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000009,ekcem,أكشم,entre !,ادخل,أيّ صوت / au choix,Tanina (♀) — U5 « Une visite » / «زيارة»
148,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000010,qqim,قيم,assieds-toi !,اجلس,أيّ صوت / au choix,Tanina (♀) — U5 « Une visite » / «زيارة»
149,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000011,ekcem ɣer taddart,أكشم غر تادارت,entre dans la maison,ادخل إلى البيت,أيّ صوت / au choix,
150,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000012,lliɣ deg taddart,ليغ دڨ تادارت,je suis à la maison,أنا في البيت,أيّ صوت / au choix,
151,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000013,agertil,أڨرتيل,natte,حصير,أيّ صوت / au choix,
152,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000014,taɣenjawt,تاغنجاوت,cuillère,ملعقة,أيّ صوت / au choix,
153,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000015,asɣar,أسغار,bois,حطب,أيّ صوت / au choix,
154,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية","2. Entre, assieds-toi / ادخل واجلس",3c050000-0000-4000-8000-000000000016,abernus,أبرنوس,burnous,برنس,أيّ صوت / au choix,
155,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000017,ddecra,دشرا,village (dechra),قرية (دشرة),أيّ صوت / au choix,
156,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000018,abrid,أبريد,"chemin, route",طريق,أيّ صوت / au choix,
157,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000019,tamdint,تامدينت,ville,مدينة,أيّ صوت / au choix,
158,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000020,tamurt,تامورت,"pays, terre",بلد، أرض,أيّ صوت / au choix,
159,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000021,tamezgida,تامزڨيدا,mosquée,مسجد,أيّ صوت / au choix,
160,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000022,iger,إڨر,champ,حقل,أيّ صوت / au choix,
161,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000023,taqliɛt,تاقليعت,grenier collectif (guelaa),مخزن جماعي (قلعة),أيّ صوت / au choix,
162,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3. Le village / القرية,3c050000-0000-4000-8000-000000000024,azeṭṭa,أزطا,métier à tisser ; tissage,منسج؛ نسيج,أيّ صوت / au choix,
163,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000025,kker,كر,lève-toi !,انهض,أيّ صوت / au choix,Dihya (♀) — U5 « Debout ! » / «حان وقت النهوض»
164,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000026,ṭṭes,طس,dors !,نَمْ,أيّ صوت / au choix,
165,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000027,ad ṭṭseɣ,أد طسغ,je vais dormir,سأنام,أيّ صوت / au choix,Massin (♂) — U5 « Debout ! » / «حان وقت النهوض»
166,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000028,xdem,خدم,travaille !,اعمل,أيّ صوت / au choix,
167,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000029,ad xedmeɣ,أد خدمغ,je vais travailler,سأعمل,أيّ صوت / au choix,
168,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000030,ffeɣ,فغ,sors !,اخرج,أيّ صوت / au choix,
169,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000031,ddu,دو,va !,اذهب,أيّ صوت / au choix,
170,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000032,ddu ɣer ssuq,دو غر سوق,va au marché,اذهب إلى السوق,أيّ صوت / au choix,Dihya (♀) — U5 « Debout ! » / «حان وقت النهوض»
171,"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",4. Ma journée / يومي,3c050000-0000-4000-8000-000000000033,efk-iyi tasarut,أفكيي تاساروت,donne-moi la clé,أعطني المفتاح,أيّ صوت / au choix,Massin (♂) — U5 « Debout ! » / «حان وقت النهوض»
172,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000001,adrar,أدرار,montagne,جبل,أيّ صوت / au choix,
173,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000002,tala,تالا,source,عين، نبع,أيّ صوت / au choix,
174,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000003,aẓru,أزرو,"pierre, rocher",حجر، صخرة,أيّ صوت / au choix,
175,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000004,akal,أكال,terre,تراب، أرض,أيّ صوت / au choix,
176,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000005,idgel,إدڨل,cèdre,أرز,أيّ صوت / au choix,
177,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000006,tazdayt,تازدايت,palmier,نخلة,أيّ صوت / au choix,
178,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",1. Montagnes et sources / الجبال والعيون,3c060000-0000-4000-8000-000000000007,tafukt,تافوكت,soleil,شمس,أيّ صوت / au choix,
179,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000008,ayyur,أيور,lune ; mois,قمر؛ شهر,أيّ صوت / au choix,
180,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000009,itran,إتران,étoiles,نجوم,أيّ صوت / au choix,
181,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000010,anẓar,أنزار,pluie,مطر,أيّ صوت / au choix,
182,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000011,adfel,أدفل,neige,ثلج,أيّ صوت / au choix,
183,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000012,aḍu,أضو,vent,ريح,أيّ صوت / au choix,
184,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000013,asemmiḍ,أسميض,froid,برد,أيّ صوت / au choix,
185,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000014,adrar n Celya,أدرار ن شيليا,le mont Chélia,جبل شيليا,أيّ صوت / au choix,Aksil (♂) — U6 « L'hiver dans les Aurès » / «الشتاء في الأوراس»
186,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000015,adfel ɣef udrar,أدفل غف أودرار,de la neige sur la montagne,ثلج على الجبل,أيّ صوت / au choix,Tiziri (♀) — U6 « L'hiver dans les Aurès » / «الشتاء في الأوراس»
187,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000016,yella usemmiḍ,يلا أوسميض,il fait froid,الجوّ بارد,أيّ صوت / au choix,Aksil (♂) — U6 « L'hiver dans les Aurès » / «الشتاء في الأوراس»
188,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",2. Le ciel et le temps / السماء والطقس,3c060000-0000-4000-8000-000000000017,yekkat unẓar,يكات أونزار,il pleut,إنها تمطر,أيّ صوت / au choix,Tiziri (♀) — U6 « L'hiver dans les Aurès » / «الشتاء في الأوراس»
189,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000018,tafsut,تافسوت,printemps,ربيع,أيّ صوت / au choix,
190,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000019,anebdu,أنبدو,été,صيف,أيّ صوت / au choix,
191,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000020,tagrest,تاڨرست,hiver,شتاء,أيّ صوت / au choix,
192,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000021,amellal,أملال,blanc,أبيض,أيّ صوت / au choix,
193,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000022,azeggaɣ,أزڨاغ,rouge,أحمر,أيّ صوت / au choix,
194,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000023,ayis,أيس,cheval,حصان,أيّ صوت / au choix,
195,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000024,ayis amellal,أيس أملال,un cheval blanc,حصان أبيض,أيّ صوت / au choix,
196,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000025,aydi,أيدي,chien,كلب,أيّ صوت / au choix,
197,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3. Saisons et couleurs / الفصول والألوان,3c060000-0000-4000-8000-000000000026,aɣyul,أغيول,âne,حمار,أيّ صوت / au choix,
198,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000027,taɣaṭ,تاغاط,chèvre,عنزة,أيّ صوت / au choix,
199,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000028,ulli,أولي,"moutons, brebis",غنم,أيّ صوت / au choix,
200,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000029,izimer,إزيمر,agneau,حَمَل,أيّ صوت / au choix,
201,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000030,tafunast,تافوناست,vache,بقرة,أيّ صوت / au choix,
202,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000031,tayaziṭ,تايازيط,poule,دجاجة,أيّ صوت / au choix,
203,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000032,ayaziḍ,أيازيض,coq,ديك,أيّ صوت / au choix,
204,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000033,alɣem,ألغم,chameau,جمل,أيّ صوت / au choix,
205,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000034,uccen,أوشن,chacal,ابن آوى,أيّ صوت / au choix,
206,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000035,mani tella taɣaṭ,ماني تلا تاغاط,où est la chèvre ?,أين العنزة؟,أيّ صوت / au choix,Yuba (♂) — U6 « La chèvre perdue » / «العنزة الضائعة»
207,"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",4. Les animaux des Aurès / حيوانات الأوراس,3c060000-0000-4000-8000-000000000036,tella ɣef uẓru,تلا غف أوزرو,elle est sur le rocher,إنها على الصخرة,أيّ صوت / au choix,Tanina (♀) — U6 « La chèvre perdue » / «العنزة الضائعة»
