الوحدة / Unité,المعرّف / Identifiant,بالحرف اللاتيني / Latin,بالحرف العربي / Graphie arabe,تيفيناغ / Tifinagh,المعنى بالإنجليزية / Sens (anglais),المعنى بالفرنسية / Sens (français),المعنى بالعربية / Sens (arabe),نوع الكلمة / Nature du mot,المنطقة / Région,"درجة الثقة / Confiance (high, medium, low)",لماذا (بالفرنسية) / Pourquoi,لماذا / Pourquoi (arabe),صيغ أخرى معروفة / Variantes connues,أول درس / Première leçon,صحيح؟ / Correct ?,التصحيح / Correction,المراجِع / Relecteur,القرية / Village
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000020,azekka,أزكا,ⴰⵣⴻⴽⴽⴰ,tomorrow,demain,غدًا,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,"asekka, tiwecca",3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000021,iḍelli,إضلي,ⵉⴹⴻⵍⵍⵉ,yesterday,hier,أمس,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,iḍennaḍ,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000023,tura,تورا,ⵜⵓⵔⴰ,now,maintenant,الآن,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,ruxa,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000024,yal ass,يال أس,ⵢⴰⵍ ⴰⵙⵙ,every day,chaque jour,كل يوم,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,3. Le jour et la nuit / النهار والليل,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000028,assa d yennayer,أسا د يناير,ⴰⵙⵙⴰ ⴷ ⵢⴻⵏⵏⴰⵢⴻⵔ,today is Yennayer,"aujourd'hui, c'est Yennayer",اليوم ينّاير,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000029,ula d cek,أولا د شك,ⵓⵍⴰ ⴷ ⵛⴻⴽ,you too (to a man),toi aussi (à un homme),وأنت أيضًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,ula d kečč,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000030,sin n wussan,سين ن وسان,ⵙⵉⵏ ⵏ ⵡⵓⵙⵙⴰⵏ,two days,deux jours,يومان,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre + n + état d'annexion (wussan) ; forme à vérifier.,عدد + n + حالة الإلحاق (wussan)؛ يجب التحقق من الصيغة.,,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000031,kraḍ n wussan,كراض ن وسان,ⴽⵔⴰⴹ ⵏ ⵡⵓⵙⵙⴰⵏ,three days,trois jours,ثلاثة أيام,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre + n + état d'annexion (wussan) ; forme à vérifier.,عدد + n + حالة الإلحاق (wussan)؛ يجب التحقق من الصيغة.,,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000032,ar azekka,أر أزكا,ⴰⵔ ⴰⵣⴻⴽⴽⴰ,see you tomorrow,à demain,إلى الغد,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000033,acḥal n wussan,أشحال ن وسان,ⴰⵛⵃⴰⵍ ⵏ ⵡⵓⵙⵙⴰⵏ,how many days?,combien de jours ?,كم يومًا؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Une nouvelle année / سنة جديدة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000034,azekka d ass n ssuq,أزكا د أس ن سوق,ⴰⵣⴻⴽⴽⴰ ⴷ ⴰⵙⵙ ⵏ ⵙⵙⵓⵇ,tomorrow is market day,"demain, c'est jour de marché",غدًا يوم السوق,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Une nouvelle année / سنة جديدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000007,sew aman,سو أمان,ⵙⴻⵡ ⴰⵎⴰⵏ,drink some water,bois de l'eau,اشرب الماء,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000008,ecc aɣrum,أش أغروم,ⴻⵛⵛ ⴰⵖⵔⵓⵎ,eat some bread,mange du pain,كُلِ الخبز,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,1. Le pain et l'eau / الخبز والماء,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000011,aɣi,أغي,ⴰⵖⵉ,milk; buttermilk,lait ; petit-lait,حليب؛ لبن,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,aɣi = lait ou petit-lait selon les parlers ; le kabyle dit ayefki pour le lait. À préciser.,aɣi = حليب أو لبن حسب اللهجات؛ القبائلية تقول ayefki للحليب. يجب التدقيق.,ayefki,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000016,aren,أرن,ⴰⵔⴻⵏ,flour,farine,دقيق,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,2. De la ferme / من المزرعة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000017,seksu,سكسو,ⵙⴻⴽⵙⵓ,couscous,couscous,كسكس,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nom panamazigh du couscous ; le nom chaoui courant est peut-être différent.,الاسم الأمازيغي المشترك للكسكس؛ قد يكون الاسم الشاوي المتداول مختلفًا.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000018,azalim,أزاليم,ⴰⵣⴰⵍⵉⵎ,onion,oignon,بصل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000019,tiskert,تيسكرت,ⵜⵉⵙⴽⴻⵔⵜ,garlic,ail,ثوم,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000020,imensi,إمنسي,ⵉⵎⴻⵏⵙⵉ,dinner,dîner,عشاء,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000021,efk-iyi,أفكيي,ⴻⴼⴽ-ⵉⵢⵉ,give me,donne-moi,أعطني,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Impératif efk + -iyi « moi » ; forme chaouie à confirmer.,صيغة الأمر efk + ‎-iyi (ـني)؛ يجب تأكيد الصيغة الشاوية.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000022,efk-iyi aman,أفكيي أمان,ⴻⴼⴽ-ⵉⵢⵉ ⴰⵎⴰⵏ,give me some water,donne-moi de l'eau,أعطني ماءً,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000023,efk-iyi aɣrum,أفكيي أغروم,ⴻⴼⴽ-ⵉⵢⵉ ⴰⵖⵔⵓⵎ,give me some bread,donne-moi du pain,أعطني خبزًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000024,yelha,يلها,ⵢⴻⵍⵀⴰ,it's good,c'est bon,إنه طيّب,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,3. À table / على المائدة,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000029,xseɣ,خسغ,ⵅⵙⴻⵖ,I want,je veux,أريد,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (proche du rifain) attribuée au chaoui sans certitude.,صيغة زناتية (قريبة من الريفية) منسوبة إلى الشاوية دون يقين.,bɣiɣ,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000030,xseɣ aman,خسغ أمان,ⵅⵙⴻⵖ ⴰⵎⴰⵏ,I want some water,je veux de l'eau,أريد ماءً,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000031,ur xseɣ ca,أور خسغ شا,ⵓⵔ ⵅⵙⴻⵖ ⵛⴰ,I don't want any,je n'en veux pas,لا أريد,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000033,xseɣ tiyni,خسغ تييني,ⵅⵙⴻⵖ ⵜⵉⵢⵏⵉ,I want some dates,je veux des dattes,أريد تمرًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000034,xseɣ tament,خسغ تامنت,ⵅⵙⴻⵖ ⵜⴰⵎⴻⵏⵜ,I want some honey,je veux du miel,أريد عسلًا,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Au marché / في السوق,,,,
"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",3c040000-0000-4000-8000-000000000035,tament n udrar,تامنت ن أودرار,ⵜⴰⵎⴻⵏⵜ ⵏ ⵓⴷⵔⴰⵔ,mountain honey,miel de montagne,عسل الجبل,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,adrar à l'état d'annexion (udrar) après n ; à vérifier.,adrar في حالة الإلحاق (udrar) بعد n؛ يجب التحقق.,,4. Au marché / في السوق,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000004,ldi,لدي,ⵍⴷⵉ,open!,ouvre !,افتح,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000005,ldi tabburt,لدي تابورت,ⵍⴷⵉ ⵜⴰⴱⴱⵓⵔⵜ,open the door,ouvre la porte,افتح الباب,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000006,tasarut n taddart,تاساروت ن تادارت,ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵜⴰⴷⴷⴰⵔⵜ,the house key,la clé de la maison,مفتاح البيت,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,taddart après n : l'état d'annexion est peut-être teddart.,taddart بعد n: قد تكون حالة الإلحاق teddart.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000008,tafat,تافات,ⵜⴰⴼⴰⵜ,light,lumière,ضوء، نور,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,1. À la maison / في البيت,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000009,ekcem,أكشم,ⴻⴽⵛⴻⵎ,come in!,entre !,ادخل,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Impératif de kcem « entrer » ; la forme chaouie est peut-être différente.,صيغة الأمر من kcem «دخل»؛ قد تكون الصيغة الشاوية مختلفة.,kcem,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000011,ekcem ɣer taddart,أكشم غر تادارت,ⴻⴽⵛⴻⵎ ⵖⴻⵔ ⵜⴰⴷⴷⴰⵔⵜ,come into the house,entre dans la maison,ادخل إلى البيت,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000012,lliɣ deg taddart,ليغ دڨ تادارت,ⵍⵍⵉⵖ ⴷⴻⴳ ⵜⴰⴷⴷⴰⵔⵜ,I'm at home,je suis à la maison,أنا في البيت,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000013,agertil,أڨرتيل,ⴰⴳⴻⵔⵜⵉⵍ,mat,natte,حصير,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000014,taɣenjawt,تاغنجاوت,ⵜⴰⵖⴻⵏⵊⴰⵡⵜ,spoon,cuillère,ملعقة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000015,asɣar,أسغار,ⴰⵙⵖⴰⵔ,"wood, firewood",bois,حطب,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,"2. Entre, assieds-toi / ادخل واجلس",,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000017,ddecra,دشرا,ⴷⴷⴻⵛⵔⴰ,village (dechra),village (dechra),قرية (دشرة),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Mot d'origine arabe très utilisé dans les Aurès ; indiquez-nous le mot chaoui que vous employez.,كلمة من أصل عربي شائعة في الأوراس؛ أخبرونا بالكلمة الشاوية التي تستعملونها.,,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000022,iger,إڨر,ⵉⴳⴻⵔ,field,champ,حقل,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"Mot panamazigh, prononcé peut-être iyer (g → y) ; à confirmer.",كلمة أمازيغية مشتركة، قد تُنطق iyer؛ يجب التأكد.,iyer (prononciation),3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000023,taqliɛt,تاقليعت,ⵜⴰⵇⵍⵉⵄⵜ,granary (guelaa),grenier collectif (guelaa),مخزن جماعي (قلعة),nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"Nom du grenier collectif des Aurès, d'après l'arabe qalʿa ; forme exacte à confirmer.",اسم المخزن الجماعي في الأوراس، من العربية «قلعة»؛ يجب تأكيد الصيغة.,tagliɛt,3. Le village / القرية,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000027,ad ṭṭseɣ,أد طسغ,ⴰⴷ ⵟⵟⵙⴻⵖ,I'm going to sleep,je vais dormir,سأنام,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Futur ad + verbe ; en chaoui ad se prononce peut-être a ou ac.,المستقبل ad + فعل؛ قد تُنطق ad في الشاوية a أو ac.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000028,xdem,خدم,ⵅⴷⴻⵎ,work!,travaille !,اعمل,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,"Emprunt à l'arabe, entendu dans le chaoui de tous les jours.",كلمة مقترضة من العربية، مسموعة في الشاوية اليومية.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000029,ad xedmeɣ,أد خدمغ,ⴰⴷ ⵅⴻⴷⵎⴻⵖ,I'm going to work,je vais travailler,سأعمل,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Futur ad + verbe ; en chaoui ad se prononce peut-être a ou ac.,المستقبل ad + فعل؛ قد تُنطق ad في الشاوية a أو ac.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000031,ddu,دو,ⴷⴷⵓ,go!,va !,اذهب,verbe / فعل,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,ddu en kabyle ; en chaoui on dit peut-être plutôt ṛuḥ.,ddu في القبائلية؛ قد تقول الشاوية ṛuḥ.,ṛuḥ,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000032,ddu ɣer ssuq,دو غر سوق,ⴷⴷⵓ ⵖⴻⵔ ⵙⵙⵓⵇ,go to the market,va au marché,اذهب إلى السوق,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Ma journée / يومي,,,,
"5 — Maison, village et quotidien / البيت والقرية والحياة اليومية",3c050000-0000-4000-8000-000000000033,efk-iyi tasarut,أفكيي تاساروت,ⴻⴼⴽ-ⵉⵢⵉ ⵜⴰⵙⴰⵔⵓⵜ,give me the key,donne-moi la clé,أعطني المفتاح,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Ma journée / يومي,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000005,idgel,إدڨل,ⵉⴷⴳⴻⵍ,cedar,cèdre,أرز,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nom du cèdre en tamazight de l'Atlas ; mot chaoui non vérifié.,اسم الأرز في أمازيغية الأطلس؛ الكلمة الشاوية غير مؤكدة.,,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000007,tafukt,تافوكت,ⵜⴰⴼⵓⴽⵜ,sun,soleil,شمس,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète et de l'Atlas ; le kabyle dit iṭij. À confirmer.,صيغة زناتية وأطلسية؛ القبائلية تقول iṭij. يجب التأكد.,iṭij,1. Montagnes et sources / الجبال والعيون,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000010,anẓar,أنزار,ⴰⵏⵥⴰⵔ,rain,pluie,مطر,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,anẓar = pluie dans plusieurs parlers ; le kabyle dit plutôt ageffur.,anẓar = مطر في عدة لهجات؛ القبائلية تقول ageffur.,ageffur,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000013,asemmiḍ,أسميض,ⴰⵙⴻⵎⵎⵉⴹ,cold,froid,برد,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000015,adfel ɣef udrar,أدفل غف أودرار,ⴰⴷⴼⴻⵍ ⵖⴻⴼ ⵓⴷⵔⴰⵔ,snow on the mountain,de la neige sur la montagne,ثلج على الجبل,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Le ciel et le temps / السماء والطقس,,,,
"6 — Nature, animaux et Aurès / الطبيعة والحيوانات والأوراس",3c060000-0000-4000-8000-000000000016,yella usemmiḍ,يلا أوسميض,ⵢⴻⵍⵍⴰ ⵓⵙⴻⵎⵎⵉⴹ,it's cold,il fait froid,الجوّ بارد,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Le ciel et le temps / السماء والطقس,,,,
